en,tr,pos,emoji,yuksek_getiri,syn,kaynaklar,cikmis_tekrar,cikmis_donemler,grup,example,exampleTr,tier
"minor","küçük, ufak","n","🐜",0,"trifle; negligible","Çıkmış sorular",1,"2022-1",,"","",3
"miracle","mucize","n","📦",0,"marvel; wonder","Çıkmış sorular; Zafer Hoca",1,"2022-2",,"","",3
"misconception","yanlış algı, yanlış bilinen şey","n","❎",0,"misunderstanding; fallacy; mistake","Çıkmış sorular",1,"2023-1",,"","",3
"misdirect","yanlış yönlendirmek","v","🚧",0,"misguide; err; mislead","Çıkmış sorular",1,"2023-1",,"","",3
"mishap","aksilik","n","📦",0,"misfortune; accident; talihsizlik","Çıkmış sorular",1,"2024-2",,"","",3
"misleading","yanıltıcı","n","📦",0,"deceptive; confusing; false","Çıkmış sorular",2,"2024-2; 2025-2",,"","",2
"mistakenly","hatalı bir şekilde","adv","❎",0,"incorrectly; falsely","Çıkmış sorular",1,"2022-1",,"","",3
"mix","karıştırmak","v","❄️",0,"blend; combine","Çıkmış sorular",1,"2023-1",,"","",3
"modern","çağdaş, günümüz","n","🌐",0,"current; contemporary; modern","Çıkmış sorular",1,"2025-2",,"","",3
"moisture retention","nem tutma","n","💧",0,"water-holding capacity","Çıkmış sorular",1,"2024-1",,"","",3
"molecular biology","moleküler biyoloji","n","⚗️",0,"molecular science","Çıkmış sorular",1,"2024-1",,"","",3
"monopoly","tekel","adv","💫",0,"exclusive control; sole right","Çıkmış sorular",1,"2025-2",,"","",3
"mostly","çoğunlukla, ağırlıklı olarak mainly","adv","🏋️",0,"largely","Çıkmış sorular",1,"2024-2",,"","",3
"motion","hareket","n","🚶",0,"","Zafer Hoca",0,"",,"","",2
"motivate","güdülemek inspire","v","🎬",0,"drive; motive etmek","Çıkmış sorular",1,"2024-1",,"","",3
"motivation","motivasyon","n","📦",0,"reason; incentive","Çıkmış sorular",1,"2025-2",,"","",3
"mould","küf -","n","📦",0,"","Çıkmış sorular",1,"2021-2",,"","",3
"mount","yükselmek","v","📈",0,"climb; install; attach; fix","Çıkmış sorular",2,"2018-1; 2024-1",,"","",2
"mountain range","dağ sırası","n","⛰️",0,"mountain chain","Çıkmış sorular",1,"2025-1",,"","",3
"move","hareket etmek","v","🚶",0,"travel; relocate; crawl; locomote","Çıkmış sorular",2,"2022-1; 2024-1",,"","",2
"move around","etrafta hareket etmek move","v","🚶",0,"travel around; about","Çıkmış sorular",1,"2024-2",,"","",3
"movement of","...'nın hareketi/akışı","yapı","🚶",0,"motion of; flow of","Çıkmış sorular",1,"2025-1",,"","",3
"movement of air","hava hareketi airflow","yapı","💨",0,"ventilation","Çıkmış sorular",1,"2025-2",,"","",3
"moving object","hareketli nesne mobile","n","📱",0,"entity","Çıkmış sorular",1,"2024-1",,"","",3
"much less electricity","çok daha az elektrik","n","🔌",0,"far less energy","Çıkmış sorular",1,"2024-2",,"","",3
"mucus","sümüksü salgı","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"mud","çamur","n","📦",0,"clay","Çıkmış sorular",1,"2018-1",,"","",3
"multi-digit","çok basamaklı","n","📦",0,"multi-figure","Çıkmış sorular",1,"2025-1",,"","",3
"multifunctional","çok işlevli","n","🧑‍🔧",0,"multi-purpose; versatile","Çıkmış sorular",1,"2025-2",,"","",3
"multiple","çok sayıda","n","🔢",0,"various; numerous","Çıkmış sorular",1,"2024-2",,"","",3
"multiple representations","çoklu gösterimler / temsiller","n","🖥️",0,"various representations","Çıkmış sorular",1,"2024-2",,"","",3
"multispectral scanner","çok spektrumlu tarayıcı spectral","n","📦",0,"scanner","Çıkmış sorular",1,"2024-1",,"","",3
"mushroom","mantar fungi","n","📦",0,"fungus","Çıkmış sorular",1,"2021-1",,"","",3
"mystery","gizem puzzle","n","📦",0,"puzzle; secret","Çıkmış sorular",2,"2021-2; 2024-2",,"","",2
"namely","özellikle that","adv","💫",0,"is; specifically; yani","Çıkmış sorular",1,"2025-1",,"","",3
"narrow","dar","n","📦",0,"restricted; limited","Çıkmış sorular",1,"2025-2",,"","",3
"nasa has recently conducted a","study on astronauts who are identical twins","n","🌌",0,"to observe changes in the body","Çıkmış sorular",1,"2022-2",,"","",3
"nate","bağışlamak award","v","🎬",0,"give away","Çıkmış sorular",1,"2023-2",,"","",3
"nationalism","milliyetçilik","n","🏛️",0,"devotion; patriotism","Çıkmış sorular",1,"2025-1",,"","",3
"native","yerel","n","📦",0,"indigenous; domestic; yerli","Çıkmış sorular; Zafer Hoca",1,"2022-2",,"","",3
"native ecosystem","yerli/doğal ekosistem natural","n","📦",0,"ecosystem","Çıkmış sorular",1,"2025-1",,"","",3
"native species may escape from","aquaculture and establish themselves in new habitats","yapı","💧",0,"possibly competing with or","Çıkmış sorular",1,"2023-2",,"","",3
"natural","doğal","n","📦",0,"organic; real","Çıkmış sorular",1,"2024-2",,"","",3
"natural clone","doğal klon identical","n","👯",0,"naturally occurring clone; twin","Çıkmış sorular",1,"2025-2",,"","",3
"natural environment","doğal çevre","n","📦",0,"natural surroundings; ecosystem","Çıkmış sorular",1,"2024-1",,"","",3
"natural habitat","doğal habitat natural","n","📦",0,"environment","Çıkmış sorular",1,"2024-1",,"","",3
"natural history","doğal tarih","n","📦",0,"ecological history","Çıkmış sorular",1,"2024-1",,"","",3
"natural landscape","doğal peyzaj","n","🟫",0,"terrain; environment","Çıkmış sorular",1,"2025-2",,"","",3
"natural material","doğal malzeme","n","📦",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"natural pest control","doğal zararlı kontrolü","n","👎",0,"biological pest management","Çıkmış sorular",1,"2024-1",,"","",3
"natural pest control also has","many advantages OVER chemical controls","n","⚗️",0,"such as pesticides and herbicides.","Çıkmış sorular",1,"2024-1",,"","",3
"natural philosopher","doğa filozofu","n","📦",0,"thinker; scientist","Çıkmış sorular",1,"2024-2",,"","",3
"natural resource","doğal kaynak raw","n","📦",0,"material; resource","Çıkmış sorular",1,"2025-1",,"","",3
"natural source","doğal kaynak origin","n","📦",0,"natural provider","Çıkmış sorular",1,"2024-1",,"","",3
"natural traveller","doğal yolcu","n","🚶",0,"seed disperser","Çıkmış sorular",1,"2024-1",,"","",3
"naturalist","doğa bilimci","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"naturally occurring","doğal olarak oluşan existing","n","📦",0,"native; in nature","Çıkmış sorular",1,"2025-2",,"","",3
"nature","doğa, tabiat","n","📦",0,"character; essence; constitution; makeup","Çıkmış sorular",2,"2022-1; 2025-1",,"","",2
"nature watcher","doğa gözlemcisi","n","👁️",0,"observer of nature; naturalist","Çıkmış sorular",1,"2025-2",,"","",3
"nature-inspired building","doğadan ilham alan yapı","n","🏗️",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"nausea","mide bulantısı","n","🌡️",0,"queasiness","Çıkmış sorular",1,"2024-1",,"","",3
"navigation","yön bulma","n","📦",0,"pilotage; guidance; navigasyon","Çıkmış sorular",1,"2025-2",,"","",3
"navigation system","seyrüsefer / konum bulma sistemi","n","🗺️",0,"positioning system","Çıkmış sorular",1,"2025-1",,"","",3
"navigation technology","navigasyon teknolojisi","n","📦",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"navy","donanma","n","📦",0,"naval force","Çıkmış sorular",1,"2024-1",,"","",3
"near future","yakın gelecek","n","🔮",0,"upcoming period","Çıkmış sorular",1,"2024-1",,"","",3
"negative impact","olumsuz etki","n","👎",0,"harmful effect","Çıkmış sorular",1,"2024-2",,"","",3
"negative social side effect","olumsuz toplumsal yan etki","n","👥",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"negatively affect","olumsuz etkilemek","v","👎",0,"harm; impair","Çıkmış sorular",1,"2024-2",,"","",3
"nest","yuva home","n","🏠",0,"","Çıkmış sorular",1,"2023-2",,"","",3
"network of satellites","uydu ağı satellite","yapı","🛰️",0,"network","Çıkmış sorular",1,"2025-1",,"","",3
"new climate-friendly crops for","biofuels – that is, until 2005, when he realised","yapı","🌦️",0,"he had done it by pure chance","Çıkmış sorular",1,"2025-2",,"","",3
"new moon","yeni ay","n","🌙",0,"lunar phase","Çıkmış sorular",1,"2025-1",,"","",3
"new studies show that we are","easily emotionally influenced by humanoid","n","✨",0,"robots. Scientists from a leading","Çıkmış sorular",1,"2021-1",,"","",3
"new technique simply was too","localised and disappeared when its inventors","n","✨",0,"before it could become; died","Çıkmış sorular",1,"2025-2",,"","",3
"newly-cleared ground","yeni temizlenmiş toprak","n","🟫",0,"recently cleared land","Çıkmış sorular",1,"2024-1",,"","",3
"no longer","artık","n","📦",0,"anymore; any more; longer; no more","Çıkmış sorular",4,"2021-1; 2021-2; 2022-2; 2024-2",,"","",1
"nobel prize","Nobel Ödülü","n","📦",0,"—","Çıkmış sorular",1,"2025-1",,"","",3
"noctilucent","gece parlayan","n","💡",0,"night-shining","Çıkmış sorular",1,"2024-2",,"","",3
"noise pollution","gürültü kirliliği","n","☣️",0,"sound pollution","Çıkmış sorular",1,"2024-1",,"","",3
"non-genetic factor","genetik olmayan faktör","n","🧬",0,"environmental factor","Çıkmış sorular",1,"2024-1",,"","",3
"non-living environment","cansız çevre","n","📦",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"non-spontaneous","kendiliğinden olmayan forced","n","🏋️",0,"driven","Çıkmış sorular",1,"2024-2",,"","",3
"northern region","kuzey bölgeler","n","🗺️",0,"cold regions; high-latitude areas","Çıkmış sorular",1,"2025-2",,"","",3
"norwegian explorer","Norveçli kaşif","n","📦",0,"Norwegian adventurer","Çıkmış sorular",1,"2024-1",,"","",3
"nothing but","yalnızca, sadece only","n","📦",0,"merely","Çıkmış sorular",1,"2024-1",,"","",3
"notice","farketmek","v","🎬",0,"observe; perceive","Çıkmış sorular",2,"2021-2; 2024-2",,"","",2
"novel carbohydrate","yeni/alışılmadık karbonhidrat","n","✨",0,"new carbohydrate","Çıkmış sorular",1,"2024-1",,"","",3
"novel therapy","yeni (özgün) tedavi new","n","💊",0,"treatment","Çıkmış sorular",1,"2025-1",,"","",3
"novelty","yenilik","n","✨",0,"","Zafer Hoca",0,"",,"","",2
"number","sayı","n","🔢",0,"amount; quantity","Çıkmış sorular",1,"2024-2",,"","",3
"nutrients such as nitrogen and","phosphorus. In these systems, microorganisms","n","🍎",0,"consisting mainly of bacteria turn","Çıkmış sorular",1,"2024-2",,"","",3
"nutritional element besin","öğesi nutrient","n","🍎",0,"mineral","Çıkmış sorular",1,"2025-2",,"","",3
"nutritious value","besin değeri","n","🍎",0,"nutritional value","Çıkmış sorular",1,"2025-1",,"","",3
"objection","itiraz","n","📦",0,"opposition; argument; disagreement","Çıkmış sorular",3,"2021-1; 2021-2; 2025-2",,"","",1
"obscurely","belirsiz şekilde, anlaşılmaz biçimde vaguely","adv","💫",0,"ambiguously","Çıkmış sorular",1,"2025-2",,"","",3
"obviously","açıkça","adv","💫",0,"clearly; apparently","Çıkmış sorular",1,"2023-2",,"","",3
"occasional","ara sıra, bazen","n","📦",0,"at times; sometimes","Çıkmış sorular",1,"2023-1",,"","",3
"occasionally","ara sıra","adv","💫",0,"infrequently; seldom","Çıkmış sorular",1,"2022-1",,"","",3
"occupation","iş, meşguliyet","n","📦",0,"profession; business","Çıkmış sorular",1,"2023-1",,"","",3
"occupy ecosystem niche","ekosistem nişini doldurmak","v","🎬",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"odds","olasılık, ihtimal","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"odor","koku","n","📦",0,"scent; smell","Çıkmış sorular",1,"2023-1",,"","",3
"of all","arasında among","yapı","🧩",0,"","Çıkmış sorular",1,"2021-2",,"","",3
"oil rig","petrol kuyusu","n","⛽",0,"drilling platform","Çıkmış sorular",1,"2024-1",,"","",3
"olaylardan giderek daha fazla","kopmuştur, çünkü mekanik saatlerin ölçümlerini","n","⚙️",0,"","Çıkmış sorular",1,"2025-1",,"","",3
"on a large scale","geniş çapta","n","📏",0,"","Zafer Hoca",0,"",,"","",2
"on account of","-nın yüzünden, -den dolayı","yapı","🧩",0,"due to; owing to; because of","Çıkmış sorular",1,"2023-2",,"","",3
"on all four limbs","dört uzvu üzerinde on","n","📦",0,"quadruped; four legs","Çıkmış sorular",1,"2024-2",,"","",3
"on behalf of","adına, namına","yapı","🧩",0,"in support of","Çıkmış sorular",1,"2022-2",,"","",3
"on its own","yardım almadan by","n","🤝",0,"spontaneously; itself; kendi kendine","Çıkmış sorular",1,"2024-2",,"","",3
"on physical processes such as","and sedimentation to","n","📦",0,"aid in the removal of pollutants.; screening; filtration","Çıkmış sorular",1,"2024-2",,"","",3
"on the back of","sırt kısmına, arkasına","yapı","🧩",0,"onto the rear; on the rear side","Çıkmış sorular",1,"2024-1",,"","",3
"on the other hand","öte yandan","n","📦",0,"conversely; however","Çıkmış sorular",1,"2024-2",,"","",3
"on the record","kayıtlı olarak officially","n","✍️",0,"resmen","Çıkmış sorular",1,"2024-2",,"","",3
"on-the-spot investigation","yerinde inceleme","n","🔬",0,"immediate study; field investigation","Çıkmış sorular",1,"2025-2",,"","",3
"ongoing","süregelen","n","⏳",0,"continuous; current; devam eden","Çıkmış sorular",1,"2022-2",,"","",3
"only","sade mere","adv","💫",0,"sole; tek","Çıkmış sorular",1,"2021-1",,"","",3
"onwards","-den sonra, sonrasında","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"open landscape","açık arazi / ağaçsız alan vast","n","🟫",0,"terrain","Çıkmış sorular",1,"2024-2",,"","",3
"operate","çalışmak (cihaz vb.)","v","⚙️",0,"work; run; perform; function","Çıkmış sorular",3,"2024-1; 2025-1; 2025-2",,"","",1
"operating cost","işletme maliyeti","n","💰",0,"maintenance expense; running cost","Çıkmış sorular",1,"2024-1",,"","",3
"opium poppies","afyon çiçeği","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"opponent","karşıt, muhalif","n","❄️",0,"competitor; rival; adversary; rakip","Çıkmış sorular",1,"2023-1",,"","",3
"optimising","optimize etme","n","📦",0,"refining; enhancing; en iyileme","Çıkmış sorular",1,"2025-1",,"","",3
"optimum","ideal","n","💭",0,"best; ideal; en uygun","Çıkmış sorular",1,"2025-1",,"","",3
"oral antibiotic","ağızdan alınan antibiyotik pill","n","🐜",0,"antibiotic","Çıkmış sorular",1,"2024-2",,"","",3
"orbiting satellite","yörüngedeki uydu satellite","n","🌌",0,"in orbit","Çıkmış sorular",1,"2024-1",,"","",3
"ordinary","sıradan","n","📦",0,"typical; plain; usual; common","Çıkmış sorular",2,"2022-2; 2023-1",,"","",2
"organic molecule organik","molekül carbon-based","n","⚗️",0,"compound; biomolecule","Çıkmış sorular",1,"2025-2",,"","",3
"organic substance","organik madde","n","📦",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"organise","düzenlemek, sınıflandırmak arrange","v","🏞️",0,"classify","Çıkmış sorular",1,"2025-1",,"","",3
"organised body of knowledge","düzenlenmiş bilgi birikimi","yapı","🧠",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"other species","diğer türler","n","🦎",0,"","Çıkmış sorular",1,"2024-1",,"","",3
"otter","su samuru","n","💧",0,"","Zafer Hoca",0,"",,"","",2
"out-of-date","modası geçmiş","n","📦",0,"old-fashioned","Çıkmış sorular",1,"2021-2",,"","",3
"outnumber","aşmak, sayıca geçmek","v","🔢",0,"surmount; exceed","Çıkmış sorular",1,"2022-2",,"","",3
"outset","başlangıç noktası","n","🚀",0,"","Zafer Hoca",0,"",,"","",2
"outwards","dışa doğru","n","✔️",0,"","Zafer Hoca",0,"",,"","",2
"outweigh","ağır basmak override","v","🎬",0,"dominate; exceed; surpass","Çıkmış sorular",2,"2023-2; 2025-2",,"","",2
"over the food","yiyecek yüzünden","n","🍎",0,"due to food","Çıkmış sorular",1,"2024-1",,"","",3
"overall","toplam","n","🧺",0,"complete; total","Çıkmış sorular",1,"2022-2",,"","",3
"overall survival","genel hayatta kalma","n","📦",0,"general existence","Çıkmış sorular",1,"2024-2",,"","",3
"overexploitation","aşırı sömürü","n","💉",0,"excessive use; depletion; overuse","Çıkmış sorular",2,"2024-1; 2025-2",,"","",2
"overfed","fazla besili","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"overfishing","aşırı avlanma","n","💉",0,"depletion of fish; excessive fishing","Çıkmış sorular",1,"2025-2",,"","",3
"overflow","taşmak","v","🪨",0,"","Zafer Hoca",0,"",,"","",2
"overland","karadan","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"overseas","denizaşırı","n","💧",0,"","Zafer Hoca",0,"",,"","",2
"overwhelm","boğmak, kahretmek","v","🎬",0,"devastate","Çıkmış sorular",1,"2022-1",,"","",3
"owe","borçlu olmak","v","🎬",0,"","Zafer Hoca",0,"",,"","",2
"owl","baykuş","n","📦",0,"hooter","Çıkmış sorular",1,"2022-2",,"","",3
"oxygen supply","oksijen kaynağı oxygen","adv","💨",0,"provision; oxygen availability","Çıkmış sorular",1,"2024-2",,"","",3
"pace","sürat, tempo speed","n","🏃",0,"momentum; tempo","Çıkmış sorular; Zafer Hoca",1,"2022-2",,"","",3
"pacific ocean","Pasifik Okyanusu","n","💧",0,"—","Çıkmış sorular",1,"2025-2",,"","",3
"pain","acı, ağrı ache","n","🤒",0,"suffering","Çıkmış sorular",1,"2022-2",,"","",3
"parallel of latitude","enlem paraleli latitude","yapı","🧩",0,"line; geographic parallel","Çıkmış sorular",1,"2025-2",,"","",3
"paralysis","felç loss","n","❌",0,"of movement","Çıkmış sorular",1,"2024-2",,"","",3
"parasitic","asalak","n","📦",0,"parasitical","Çıkmış sorular",1,"2022-1",,"","",3
"parlour games","salon oyunları","n","📦",0,"board games; indoor games","Çıkmış sorular",1,"2025-1",,"","",3
"participate","katılmak","v","🎬",0,"join; take part in","Zafer Hoca",0,"",,"","",2
"particles of pollution","kirlilik parçacıkları (partikül)","yapı","☣️",0,"particulate matter (PM)","Çıkmış sorular",1,"2025-1",,"","",3
"particular","özel, belirli","n","📦",0,"specific; certain","Çıkmış sorular",1,"2022-1",,"","",3
"partly","kısmen","adv","💫",0,"in part; somewhat","Çıkmış sorular",1,"2025-1",,"","",3
"partnership with","… ile ortaklık","yapı","🧩",0,"association with; symbiosis with","Çıkmış sorular",1,"2025-2",,"","",3
"pass down","aktarmak pass","phrasal","🔗",0,"hand down; on; transmit","Çıkmış sorular",2,"2022-2; 2024-2",,"","",2
"pass through","içinden geçmek","phrasal","🔗",0,"penetrate; go through; go across","Çıkmış sorular",2,"2022-2; 2025-1",,"","",2
"passionate","tutkulu fervent","n","📦",0,"ardent","Çıkmış sorular",1,"2022-1",,"","",3
"passionately","tutkuyla","adv","💫",0,"enthusiastically; fervently","Çıkmış sorular",1,"2025-1",,"","",3
"past","geçmiş","n","📦",0,"previous","Çıkmış sorular",1,"2025-1",,"","",3
"pasture","çayır, mera","n","🌙",0,"grazing; grass","Çıkmış sorular; Zafer Hoca",1,"2022-1",,"","",3
"patch","parka","n","📦",0,"yama","Zafer Hoca",0,"",,"","",2
"paternity dispute","babalık davası/ihtilafı","n","📦",0,"fatherhood contest","Çıkmış sorular",1,"2024-2",,"","",3
"paved surface","kaplanmış yüzey","n","📦",0,"concreted surface","Çıkmış sorular",1,"2024-1",,"","",3
"pay attention","ilgi göstermek","v","✅",0,"be interested in","Çıkmış sorular",1,"2021-1",,"","",3
"payload","faydalı yük","n","🔌",0,"cargo","Çıkmış sorular",1,"2023-2",,"","",3
"payoff","sonuç, meyve","n","🍓",0,"benefit; dividend; reward; getiri","Çıkmış sorular",1,"2025-1",,"","",3
"peaceful","barış dolu","n","💯",0,"friendly; serene; huzurlu","Çıkmış sorular",1,"2021-2",,"","",3
"peak","zirve","n","⛰️",0,"summit; zenith","Çıkmış sorular",1,"2018-1",,"","",3
"pear-shaped","armut şeklinde","n","📦",0,"ovoid; pear-like","Çıkmış sorular",1,"2024-1",,"","",3
"pebble","çakıl taşı","n","🪨",0,"","Zafer Hoca",0,"",,"","",2
"peer group experience","akran grubu deneyimi social","n","🔬",0,"interaction","Çıkmış sorular",1,"2024-1",,"","",3
"pendulum","sarkaç","n","📦",0,"oscillator","Çıkmış sorular",1,"2025-1",,"","",3
"pendulum clock","sarkaçlı saat","n","⏳",0,"swinging clock; pendulum timepiece","Çıkmış sorular",1,"2025-2",,"","",3
"pendulum-driven clock","sarkaçlı saat","n","⏳",0,"swing clock; pendulum clock","Çıkmış sorular",1,"2025-2",,"","",3
"pepper spray","biber gazı","n","💨",0,"","Zafer Hoca",0,"",,"","",2
"per","başına, her bir for","n","📦",0,"each","Çıkmış sorular",1,"2021-1",,"","",3
"per second with the help of","which are actually made","yapı","🤝",0,"up of 30; 000 individual eyes. They; their compound eyes","Çıkmış sorular",1,"2021-1",,"","",3
"perception","algı","n","📦",0,"idea; understanding; sense","Çıkmış sorular; Zafer Hoca",3,"2021-1; 2021-2; 2022-1",,"","",1
"perennial","çok yıllık bitki","n","🌿",0,"persistent plant; long-living plant","Çıkmış sorular",1,"2025-2",,"","",3
"perfectly logical","tamamen mantıklı","n","💭",0,"sensible; reasonable","Çıkmış sorular",1,"2024-2",,"","",3
"periodic table","Periyodik Tablo","n","⏳",0,"element chart; of elements; chemical table; Mendeleev's table","Çıkmış sorular",3,"2024-1; 2025-1; 2025-2",,"","",1
"perishable","dayanıksız","n","📦",0,"kolay bozulur","Zafer Hoca",0,"",,"","",2
"permanent problem","kalıcı sorun","n","📦",0,"persistent challenge; enduring issue","Çıkmış sorular",1,"2025-2",,"","",3
"permanently","sürekli, düzenli olarak","adv","⏳",0,"","Zafer Hoca",0,"",,"","",2
"perpetrator","suçlu, fail","n","💧",0,"offender; criminal","Çıkmış sorular",1,"2025-2",,"","",3
"persist / continue","sürmek","v","🎬",0,"endure; remain; carry on; devam etmek","Çıkmış sorular",1,"2025-1",,"","",3
"persistency","ısrar","n","📦",0,"direnme","Zafer Hoca",0,"",,"","",2
"personal behaviour","kişisel davranış","n","📦",0,"individual conduct","Çıkmış sorular",1,"2024-1",,"","",3
"personal right","kişisel hak","n","⚖️",0,"civil right; individual right","Çıkmış sorular",1,"2025-2",,"","",3
"perspiration","terleme","n","📦",0,"sweat","Çıkmış sorular",1,"2024-2",,"","",3
"persuade","ikna etmek","v","🎬",0,"convince; talk into","Çıkmış sorular",1,"2024-2",,"","",3
"persuasion","ikna etme","n","📦",0,"convincing; influence","Çıkmış sorular",1,"2025-1",,"","",3
"pessimistic","kötümser","n","📦",0,"gloomy","Çıkmış sorular",1,"2021-1",,"","",3
"pest","zararlı","n","👎",0,"harmful organism","Çıkmış sorular",1,"2024-1",,"","",3
"pest control","haşere kontrolü vermin","n","📦",0,"management","Çıkmış sorular",1,"2024-2",,"","",3
"pest management","zararlı yönetimi pest","n","🏛️",0,"pest regulation; control","Çıkmış sorular",1,"2024-1",,"","",3
"petrified","katılaştırmak","v","🏞️",0,"harden","Çıkmış sorular",1,"2021-2",,"","",3
"petroleum-based civilisation","petrole dayalı uygarlık","n","⛽",0,"oil-dependent society","Çıkmış sorular",1,"2024-2",,"","",3
"philosopher of science","bilim filozofu theorist","yapı","🧩",0,"academic","Çıkmış sorular",1,"2025-2",,"","",3
"photosynthesis","fotosentez","n","📷",0,"","Çıkmış sorular",1,"2025-2",,"","",3
"physical characteristic","fiziksel özellik","n","📦",0,"natural trait","Çıkmış sorular",1,"2024-2",,"","",3
"physical conditions","fiziksel koşullar","n","📦",0,"environmental factors","Çıkmış sorular",1,"2025-1",,"","",3
"physical exertion","fiziksel efor/çaba physical","n","📦",0,"effort; strain","Çıkmış sorular",1,"2025-1",,"","",3
"physically adapted","fiziksel olarak uyum sağlamış evolved","n","🔄",0,"for","Çıkmış sorular",1,"2024-2",,"","",3
"physician","hekim doctor","n","🩺",0,"medical specialist; medical practitioner; doctor","Çıkmış sorular",2,"2023-1; 2025-1",,"","",2
"pick","seçmek","v","🎬",0,"select; choose","Çıkmış sorular",1,"2024-2",,"","",3
"piece","parka part","n","📦",0,"portion","Çıkmış sorular",1,"2022-1",,"","",3
"piecemeal","yavaş yavaş, parça parka","n","🐌",0,"","Zafer Hoca",0,"",,"","",2
"pier","binada kolon","n","🏗️",0,"","Zafer Hoca",0,"",,"","",2
"pigment","renk maddesi","n","📦",0,"coloring matter; pigment","Çıkmış sorular",1,"2025-1",,"","",3
"pinhole camera","iğne deliği kamera camera","n","📷",0,"obscura","Çıkmış sorular",1,"2024-2",,"","",3
"pioneer","öncü","n","📦",0,"first; forerunner; trailblazer; lead","Çıkmış sorular",4,"2021-2; 2022-1; 2024-1; 2024-2",,"","",1
"pipe","boru","n","📦",0,"tube; passage","Çıkmış sorular",1,"2021-2",,"","",3
"pipeline","boru hattı","n","📦",0,"conduit","Çıkmış sorular; Zafer Hoca",1,"2022-1",,"","",3
"place","yerleştirmek locate","v","🗺️",0,"situate","Çıkmış sorular",1,"2021-2",,"","",3
"planning","planlama","n","📦",0,"preparation","Çıkmış sorular",1,"2025-1",,"","",3
"plant","fabrika","n","🌿",0,"bitki","Zafer Hoca",0,"",,"","",2
"plant nutrition","bitki beslenmesi plant","n","🌿",0,"nourishment","Çıkmış sorular",1,"2024-1",,"","",3
"plant sciences group at nearby","Wageningen University works to improve every step","n","🌿",0,"in the food production chain","Çıkmış sorular",1,"2023-2",,"","",3
"plant species","bitki türleri flora","n","🌿",0,"vegetation kinds; types","Çıkmış sorular",1,"2025-2",,"","",3
"plant-derived","bitkiden elde edilen","n","🌿",0,"plant-originated","Çıkmış sorular",1,"2024-1",,"","",3
"plausibly","crediblyfeasiblyakla yatkın bir şekilde, inandırıcı bir şekilde","adv","💫",0,"","Zafer Hoca",0,"",,"","",2
"plethora of","çok sayıda, bir sürü a wide","yapı","🔢",0,"range of; abundance","Çıkmış sorular",1,"2024-2",,"","",3
"plume","kuş tüyü","n","🐦",0,"","Zafer Hoca",0,"",,"","",2
"plunge","içine dalmak","v","🪂",0,"submerge; sink; batmak","Çıkmış sorular",1,"2024-1",,"","",3
"poaching","kaçak avlanma -","n","📦",0,"smuggling; piracy","Çıkmış sorular",2,"2022-1; 2023-2",,"","",2
"point of view","bakış açısı","yapı","🧩",0,"standpoint; perspective","Çıkmış sorular",1,"2024-2",,"","",3
"poison","zehir venom","n","☣️",0,"toxin","Çıkmış sorular",1,"2022-2",,"","",3
"polar bear","kutup ayısı","n","🌙",0,"","Zafer Hoca",0,"",,"","",2
"polar cap","kutup başlığı ice","n","🧊",0,"cap; polar glacier","Çıkmış sorular",1,"2025-2",,"","",3
"polar region","kutup bölgesi","n","🗺️",0,"","Zafer Hoca",0,"",,"","",2
"pollination","tozlaşma","n","📦",0,"fertilization","Çıkmış sorular",1,"2024-1",,"","",3
"pollinator","tozlayıcı","n","📦",0,"pollen carrier","Çıkmış sorular",1,"2024-1",,"","",3
"pollution source","kirlilik kaynağı","n","☣️",0,"contaminant source","Çıkmış sorular",1,"2024-1",,"","",3
"polyurethane","poliüretan","n","🏭",0,"polymer resin","Çıkmış sorular",1,"2024-1",,"","",3
"pond","gölcük, gölet","n","📦",0,"","Zafer Hoca",0,"",,"","",2
"populations of wild cacti must","often nocturnal","yapı","👥",0,"collecting of valuable plants for; be guarded against illegal","Çıkmış sorular",1,"2023-2",,"","",3
"port","liman","n","📦",0,"dock; harbour","Çıkmış sorular",1,"2024-2",,"","",3
"pose a threat","tehdit oluşturmak","v","⚠️",0,"endanger; threaten","Çıkmış sorular",1,"2024-1",,"","",3
"pose threat","tehdit oluşturmak","v","⚠️",0,"present a threat","Çıkmış sorular",1,"2022-1",,"","",3
"position","pozisyon","n","📦",0,"place; location; situation; mevki","Çıkmış sorular",2,"2022-1; 2024-1",,"","",2
"positive selection force","pozitif seçilim gücü","n","🌊",0,"natural selection","Çıkmış sorular",1,"2024-1",,"","",3
