ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
899,RETRIEVE (v),RETRIEVE (v),"Geri almak, kurtarmak","Save, get back, recover, regain",After nearly 23 hrs an Air India technical team managed to retrieve a SpiceJet Boeing 737 aircraft which was stuck in the mud at Mumbai Airport.,"Yaklaşık 23 saat sonra bir Air India teknik ekibi, Mumbai Havalimanı'ndaki çamurda sıkışıp kalmış bir SpiceJet Boeing 737 uçağını kurtarmayı başardı.",45,-,-,0
900,REVERSE (v),REVERSE (v),"Tersine çevirmek, geri döndürmek","Overturn, turn around, undo",Brain cell death cannot be reversed.,Beyin hücresi ölümü tersine çevrilemez.,45,-,-,0
901,ASSOCIATE with (v),ASSOCIATE with (v),"Bağdaştırmak, ilişkilendirmek","Relate, link, correlate",People in Japan associate environmental problems with nuclear waste from Fukushima Power Plant.,"Japonya'daki insanlar çevresel sorunlarını, Fukushima Santrali kaynaklı nükleer atıklarla ilişkilendiriyor.",46,-,-,0
902,CONCERNING (prep),CONCERNING (prep),"İle ilgili olarak, hakkında, ilişkin","About, relating to, regarding, as to",The suppositions concerning the universe should be experimentally tested in order to gain validity.,"Evrene ilişkin varsayımlar, geçerlilik kazanmak için deneysel olarak test edilmelidir.",46,-,-,0
903,DEDICATE to (v),DEDICATE to (v),"Adamak, vermek","Give, commit, devote",Lehmann dedicated his 25 years to studying these strange chemicals.,Lehmann 25 yılını bu garip kimyasalları incelemeye adadı.,46,-,-,0
904,DENSELY (adv),DENSELY (adv),Yoğun olarak,"Thickly, heavily",Almost every fire is a threat because California is so densely populated.,"Kaliforniya çok yoğun nüfusa sahip olduğu için, hemen hemen her yangın bir tehdittir.",46,-,-,0
905,DISPUTE (n),DISPUTE (n),"İhtilaf, çekişme, anlaşmazlık","Argument, disagreement, quarrel",The dispute illustrates intense philosophical differences over how to handle wildfires.,"Anlaşmazlık, orman yangınlarının nasıl ele alınacağı konusunda yoğun düşünsel farklılıkları göstermektedir.",46,-,-,0
906,ENORMOUSLY (adv),ENORMOUSLY (adv),"Aşırı derecede, pekçok, muazzam biçimde","Hugely, immensely, vastly, colossally, massively",Their microclimatic conditions vary enormously.,Mikrokiklimsel koşulları muazzam biçimde değişkenlik gösterir.,46,-,-,0
907,ERUPT (v),ERUPT (v),"Püskürmek, patlamak","Explode, blow up, break out",This older volcano had probably erupted violently long before human settlement.,Bu eski volkan muhtemelen insan yerleşiminden çok önce şiddetle patlamıştı.,46,-,-,0
908,EXERT (v),EXERT (v),"Kullanmak, uygulamak","Use, apply","On the Earth, gravity exerts a force on our bodies.","Yerçekimi, yeryüzünde bedenlerimize bir kuvvet uygular.",46,-,-,0
909,FLAME (n),FLAME (n),"Alev, alaz, ateş","Blaze, flare, spark",The red flames of lithium and strontium appear similar.,Lityum ve stronsiyumun kızıl alevleri benzerlik gösterir.,46,-,-,0
910,FUNGUS (n),FUNGUS (n),"Mantar, küf",Spore-producing organism,A Himalayan fungus used in Chinese medicine is under the threat due to climate change.,"Çin tıbbında kullanılan bir Himalaya mantarı, iklim değişikliği yüzünden tehdit altındadır",46,-,-,0
911,IGNITE (v),IGNITE (v),"Ateşlemek, tutuşturmak","Catch fire, burst into flames","When lightning hits the ground, it ignites the dry organic materials.",Yıldırım yere çarptığında kuru organik malzemeleri tutuşturur,46,-,-,0
912,INTERIM (adj),INTERIM (adj),"Geçici, ara","Temporary, short-term, provisional",An interim research team was set up for the period before the main study.,Ana incelemeden önceki dönem için geçici bir araştırma ekibi kuruldu.,46,-,-,0
913,INTRIGUING (adj),INTRIGUING (adj),"İlginç, şaşırtıcı, büyüleyici, etkileyici","Fascinating, interesting, exciting, captivating",Many intriguing claims as to climate change are being put forward.,İklim değişikliği ile ilgili birçok ilginç iddia öne sürülüyor.,46,-,-,0
914,PROPOSAL (n),PROPOSAL (n),"Teklif, öneri, önerme","Suggestion, offer",Many countries are co-sponsoring new space research proposals.,Birçok ülke yeni uzay araştırması tekliflerini ortaklaşa desteklemektedir.,46,-,-,0
915,RESPOND (v),RESPOND (v),"Tepki vermek, cevap vermek","React, reply, answer",Some diseases respond perfectly well to early treatment.,Bazı hastalıklar erken tedaviye çok iyi cevap verir.,46,-,-,0
916,RISE (n/v),RISE (n/v),"Artış, yükselmek","Go up, increase, growth, upsurge",Yoga is a mind-body practice that has seen a significant rise in popularity.,"Yoga, popülerliğinde belirgin bir artış olan bir zihin beden uygulamasıdır.",46,-,-,0
917,SCALE (n),SCALE (n),"Seviye, ölçek, derece","Level, size, degree, extent",The first large-scale nuclear reactors were built in 1944 in the US.,İlk büyük ölçekli nükleer reaktörler 1944 yılında ABD'de inşa edilmiştir.,46,-,-,0
918,SET UP (v),SET UP (v),"Kurmak, tesis etmek, oluşturmak","Build, establish",It is really difficult to set up salt-tolerant agriculture.,Tuza dayanıklı tarım tesis etmek gerçekten zordur.,46,-,-,0
919,STEADILY (adv),STEADILY (adv),"İstikrarlı bir şekilde, giderek","Progressively, gradually, little by little",The problem is getting steadily worse due to another reason.,"Sorun, başka bir nedenden ötürü giderek daha da kötüleşiyor.",46,-,-,0
920,URGENT (adj),URGENT (adj),"Acil, ivedi, önemli","High-priority, vital, crucial",Recent developments are a clear indication of how urgent the demand for water is in the world today.,Son gelişmeler su ihtiyacının bugün dünyada ne kadar acil olduğunun açık bir göstergesidir.,46,-,-,0
921,ADHERE to (v),ADHERE to (v),"Bağlı kalmak, sadık kalmak","Stick to, follow, abide by, obey",It is very important to adhere to the instructions when installing a device.,"Bir cihazı monte ederken, talimatlara bağlı kalmak çok önemlidir.",47,-,-,0
922,AIRBORNE (adj),AIRBORNE (adj),Havada uçan,Flying,Scientific evidence points to the risks and damages of airborne pollutants.,"Bilimsel kanıtlar, havada uçan kirleticilerin risk ve hasarlarına işaret etmektedir.",47,-,-,0
923,APPEALING (adj),APPEALING (adj),"Çekici, cazibeli, ilginç","Attractive, tempting, interesting",Humanoids are the most appealing robots under development.,"Humanoitler, gelişmekte olan en ilginç robotlardır.",47,-,-,0
924,ARISE FROM (phr v),ARISE FROM (phr v),"den meydana gelmek, kaynaklanmak","Stem from, originate from, come from, derive from",In Verlinde's formulation dark energy arises naturally from gravity's emergence.,"Verlinde'nin formülünde, karanlık enerji doğal olarak yerçekiminin ortaya çıkmasından kaynaklanır",47,-,-,0
925,BEAR (v),BEAR (v),"Dayanmak, katlanmak","Tolerate, put up with, endure, stand",People cannot bear the chemical smell in the city anymore.,İnsanlar artık şehirdeki kimyevi kokuya katlanamıyor.,47,-,-,0
926,CONVEY (v),CONVEY (v),"Taşımak, iletmek","Take, carry, transport",All waste is conveyed through pipes to storage bins for disposal.,Tüm atıklar imha için depolama kutularına borular vasıtasıyla taşınır,47,-,-,0
927,DOMESTICATE (v),DOMESTICATE (v),Evcilleştirmek,Bring under human control,"Dogs were likely domesticated more than 15,000 years ago.",Köpekler muhtemelen 15.000 yıl önce evcilleştirildi.,47,-,-,0
928,PURCHASE (v/n),PURCHASE (v/n),"Satın almak, elde etmek / satın alım, tedarik","Buy, procure, acquire / acquisition, buying, procurement",Countries are encouraging the purchase of electric vehicles.,Ülkeler elektrikli araç satın alımını teşvik etmektedir.,47,-,-,0
929,RANGE from (phr v),RANGE from (phr v),Arasında değişmek,Vary between,The sun gives off electromagnetic radiation that ranges from infrared to ultraviolet.,"Güneş, kızılötesi ile ultraviyole arasında değişen elektromanyetik radyasyon gönderir.",47,-,-,0
930,SCHEME (n),SCHEME (n),"Tasarı, plan, şema","Plan, program",A more regional geoengineering scheme might target hurricanes with less risk.,"Daha bölgesel bir jeomühendislik planı, kasırgaları daha az riskle hedef alabilir.",47,-,-,0
931,SCRUTINIZE (v),SCRUTINIZE (v),"İrdelemek, incelemek, tetkik etmek","Examine, inspect, study, analyze","Astronomers scrutinized the event, utilizing almost every available telescope.","Gökbilimciler, mevcut neredeyse her teleskopu kullanarak olayı incelediler.",47,-,-,0
932,SPAN (v),SPAN (v),"Kapsamak, içermek","Involve, include, cover",New archeological evidence shows human bones span 6 million years of human's evolution.,"Yeni arkeolojik kanıtlar, insan kemiklerinin insanların evriminin 6 milyon yılını kapsadığını gösterir.",47,-,-,0
933,STRENGTH (n),STRENGTH (n),"Güç, kuvvet","Power, force",The increasing strength of the storm worried authorities.,Fırtınanın gittikçe artan gücü yetkilileri kaygılandırdı.,47,-,-,0
934,SUSPEND (v),SUSPEND (v),"Askıya almak, geçici olarak durdurmak","Adjourn, interrupt, break off, postpone, delay","After the accident, Russian Space Agency suspended other missions.",Kazadan sonra Rus Uzay Ajansı diğer görevleri askıya aldı.,47,-,-,0
935,SWIFTLY (adv),SWIFTLY (adv),"Hızlı bir şekilde, süratle","Quickly, speedily, fast, rapidly",National governments must enact these recommendations swiftly.,Ulusal hükümetler bu önerileri hızlı bir şekilde yürürlüğe koymalıdır.,47,-,-,0
936,TENTATIVE (adj),TENTATIVE (adj),"Belirsiz, geçici, kesin olmayan","Provisional, unconfirmed, unsettled, indefinite",The research team stressed this is a tentative figure because the distribution of stars varies widely.,"Araştırma ekibi, yıldızların dağılımı çok değişken olduğu için bunun kesin olmayan bir rakam olduğunu vurguladı.",47,-,-,0
937,TERRESTRIAL (adj),TERRESTRIAL (adj),"Yeryüzüne ait, karasal","Earthly, worldly",Terrestrial organisms can meet the environmental challenges of living on land.,Karasal canlılar toprakta yaşamanın çevresel zorluklarını karşılayabilimektedir.,47,-,-,0
938,UNDERWAY (adj),UNDERWAY (adj),"Çalışma halinde, devam eden","In progress, ongoing",Work is underway to make more use of underwater turbines to generate electricity.,Elektrik üretmek için su altı türbinlerinden daha fazla yararlanmaya yönelik çalışma devam etmektedir.,47,-,-,0
939,URBAN (adj),URBAN (adj),"Kentsel, şehirsel, şehre ile ilgili",Relating to a town or city,Scientists should encourage urban managers to reduce air pollution.,"Bilim insanları, kentsel yöneticileri hava kirliliğini azaltmaya teşvik etmelidir.",47,-,-,0
940,VEHEMENTLY (adv),VEHEMENTLY (adv),"Hararetli biçimde, şiddetle","Fervently, strongly, violently","For nearly 20 years, scholars have debated vehemently when and where one old language, called Proto-Indo-European arose.","Yaklaşık 20 yıldır uzmanlar, Proto-Indo-European adı verilen eski bir dilin ne zaman ve nerede ortaya çıktığını şiddetle tartışmaktalar.",47,-,-,0
941,ABNORMAL (adj),ABNORMAL (adj),"Anormal, sıradışı","Nonstandard, unusual, strange",The abnormal eating habits among athletes is causing concern.,Sporcular arasındaki anormal yeme alışkanlıkları kaygıya sebep oluyor.,48,-,-,0
942,ADOPT (v),ADOPT (v),"Benimsemek, kabul etmek","Accept, assume, approve, agree",Scientists are beginning to adopt innovative approaches to convert available energy into chemical fuels.,"Bilim insanları, mevcut enerjiyi kimyasal yakıtlara dönüştürmek için yenilikçi yaklaşımlar benimsemeye başlıyorlar.",48,-,-,0
943,AGGRAVATE (v),AGGRAVATE (v),"Kötüleştirmek, ağırlaştırmak","Worsen, exacerbate",Indoor pollutants aggravate asthma symptoms of inner-city children.,Ev içindeki kirleticiler şehirdeki çocukların astım belirtilerini ağırlaştırır.,48,-,-,0
944,AMASS (v),AMASS (v),"Toplamak, biriktirmek","Collect, accumulate, gather",The researchers amass genomes for their own research projects.,"Araştırmacılar, kendi araştırma projeleri için genomları toplarlar.",48,-,-,0
945,BIASED (adj),BIASED (adj),"Önyargılı, taraflı","Prejudiced, partial",Research has brought clear improvement to the biased reporting of clinical trials.,"Araştırmalar, klinik deneylerin önyargılı rapor edilmesine açık bir iyileşme sağladı.",48,-,-,0
946,CONSECUTIVE (adj),CONSECUTIVE (adj),"Ardışık, peş peşe","Successive, sequential, uninterrupted",Arctic climatologist Konrad Steffen has spent 18 consecutive springs on the Greenland ice cap.,"Arktik iklimbilimci Konrad Steffen, Grönland buz tabakası üzerinde peş peşe 18 ilkbahar geçirdi.",48,-,-,0
947,DEICING (n),DEICING (n),"Buz kırma, buz çözme",Prevent ice from forming,This modern airplane has a fully functional deicing system.,Bu modern uçak tamamen işlevsel bir buz çözme sistemine sahiptir.,48,-,-,0
948,DEVOTE to (v),DEVOTE to (v),"Adamak, vermek","Dedicate, commit, give",Einstein devoted all his life to science.,Einstein tüm yaşamını bilime adadı.,48,-,-,0
949,DWINDLE (v),DWINDLE (v),"Küçülmek, azalmak","Decrease, decline, diminish, lessen","At the North Pole , the ice thickness dwindles in the summer months.",Kuzey kutbunda buz kalınlığı yaz aylarında azalmaktadır,48,-,-,0
950,ENDURANCE (n),ENDURANCE (n),"Dayanıklılık, tahammül","Durability, strength",Endurance in space missions is the main concern of astronomers.,"Uzay görevlerinde dayanıklılık, gökbilimcilerin temel endişesidir.",48,-,-,0
951,ENGULF (v),ENGULF (v),"Sarmak, kaplamak","Surround, cover, encircle","In a healthy brain, these cells engulf and destroy waste and toxins.","Sağlıklı bir beyinde bu hücreler, atıkları ve toksinleri sarar ve yok eder.",48,-,-,0
952,EXPEL (n),EXPEL (n),"Atmak, çıkarmak","Eliminate, eject, throw out",Higher temperatures force corals to expel living algae and turn white as it calcifies.,"Daha yüksek sıcaklıklar, mercanları yaşayan yosunları atmaya ve kireçlenmesiyle beyaza dönmeye zorlar.",48,-,-,0
953,FORTHCOMING (adj),FORTHCOMING (adj),"Gelecekteki, yaklaşan","Approaching, impending, imminent",The forthcoming studies may prove that climate change is more dangerous than expected,Gelecekteki çalışmalar iklim değişikliğinin beklenenden daha tehlikeli olduğunu kanıtlayabilir.,48,-,-,0
954,INDISTINGUISHABLE (adj),INDISTINGUISHABLE (adj),"Benzer, ayırt edilemez","Undifferentiated, homogeneous, identical, the same","With time, corals and sponges become indistinguishable from the natural reefs.","Zamanla, mercanlar ve süngerler doğal kayalıklardan ayırt edilemez hale gelirler.",48,-,-,0
955,OBLIGE (v),OBLIGE (v),"Zorunda bırakmak, zorunlu kılmak","Obligate, necessitate, compel, force, urge",China obliged all vehicles to meet the China emission standard.,"Çin, tüm araçların Çin emisyon standardını karşılamasını zorunlu kıldı.",48,-,-,0
956,PERISH (v),PERISH (v),"Yok olmak, ölmek","Die, disappear, vanish","If Earth's temperature were to increase by just a few degrees, many marine species would probably perish.","Dünyanın sıcaklığı sadece birkaç derece artsa, birçok deniz türü muhtemelen yok olur.",48,-,-,0
957,PROLIFERATION (n),PROLIFERATION (n),"Çoğalma, üreme","Production, spread, multiplying",Estrogens are responsible for the survival and proliferation of tumor cells in 70% of all breast cancer cases.,Estrojenler tüm meme kanseri vakalarının % 70'inde tümör hücrelerinin hayatta kalması ve çoğalmasından sorumludur.,48,-,-,0
958,RESUSCITATE (v),RESUSCITATE (v),"Diriltmek, hayata döndürmek, canlandırmak","Revive, resurrect",How much water is needed to resuscitate dying wetlands is unknown.,Ölen sulak alanları canlandırmak için ne kadar suya ihtiyaç olduğu bilinmiyor.,48,-,-,0
959,SPARK (n),SPARK (n),"Kıvılcım, alev izi","Flash, flicker, flare",Lightning begins as a small spark in a thundercloud.,"Yıldırım, fırtına bulutu içinde küçük bir kıvılcımla başlar.",48,-,-,0
960,STRETCH (v),STRETCH (v),"Yayılmak, uzanmak","Extend, spread","Mauna Kea is part of a 5,600-kilometre-long chain of volcanoes stretching westward from the main Hawaiian island.","Mauna Kea, ana Hawai adasından batıya uzanan 5.600 kilometrelik yanardağ zincirinin bir parçasıdır.",48,-,-,0
961,AFFINITY (n),AFFINITY (n),"Yakınlık, alaka, ilişki","Relationship, bond, connection","Human beings grew up in forests, so we have a natural affinity with them.","İnsanlar ormanda büyüdüler, bu yüzden onlarla doğal bir ilişkimiz var.",49,-,-,0
962,AGGREGATE (v/n),AGGREGATE (v/n),"Toplanmak, bir araya gelmek, birikme","Gather, collect, accumulate",Neuroendocrine cells aggregate to control the lung's immune response.,"Nöroendokrin hücreleri, akciğere ait bağışıklık tepkisini kontrol etmek için bir araya gelirler.",49,-,-,0
963,ASSERT (v),ASSERT (v),"İleri sürmek, iddia etmek","Claim, allege, proclaim","The particular laws that govern our universe, such as Newton's laws of motion, must be determined empirically and then asserted like axioms.",Newton'un hareket yasaları gibi evreni yöneten belirli yasalar deneysel olarak belirlenmeli ve daha sonra aksiyomlar gibi ileri sürülmelidir.,49,-,-,0
964,BEND (v),BEND (v),"Eğmek, bükmek","Curve, crook",Fiberglass is relatively brittle but can be bent around large-diameter curves.,Fiberglas nispeten kırılgan ancak geniş çaplı kıvrımların çevresinde bükülebilir.,49,-,-,0
965,BRING UP (phr v),BRING UP (phr v),"Gündeme getirmek, değinmek, büyütmek","Mention, introduce, rear, raise",They brought up climate change issue four times at the meetings.,Toplantılarda dört kez iklim değişikliği meselesini gündeme getirdiler.,49,-,-,0
966,BURST (n),BURST (n),Patlama,"Eruption, explosion",Gamma-ray bursts are among the most intense areas of research in high-energy astrophysics.,"Gama ışını patlamaları, yüksek enerjili astrofizikteki en yoğun araştırma alanlarından biridir.",49,-,-,0
967,COMMEND (v),COMMEND (v),"Övgüyle karşılamak, methetmek","Praise, speak well of, acclaim",Conservationists working to save turtles over the past 70 years are commended.,70 yıldır kaplumbağaları kurtarmaya çalışan çevreciler övgüyle karşılanıyor.,49,-,-,0
968,CONFER (v),CONFER (v),"Sunmak, sağlamak, vermek","Present, grant, give",Giving hydrolyzed formula to infants does not confer protection against type 1 diabetes.,"Bebeklere hidrolize formül vermek, tip 1 diyabete karşı koruma sağlamaz.",49,-,-,0
969,DIE OUT (phr v),DIE OUT (phr v),Nesli tükenmek,"Become extinct, disappear, vanish","Of the area's large mammal species, 83 percent died out.",Bölgenin büyük memeli türlerinden yüzde 83'ünün nesli tükendi.,49,-,-,0
970,DIFFUSE (v),DIFFUSE (v),"Neşretmek, nüfuz etmek, yayılmak","Disperse, spread, distribute",Water diffuses into the root hair cells in plants.,"Su, bitkilerde kök kıl hücrelerine kadar nüfuz eder.",49,-,-,0
971,DILUTE (v),DILUTE (v),"İnceltmek, sulandırmak, seyreltmek","Thin, water down",Large amounts of Greenland's melted freshwater could dilute the salinated water of the Gulf Stream.,"Büyük miktarlarda Grönland'ın erimiş tatlısuyu, Körfez Akıntısının tuzlu suyunu inceltebilir.",49,-,-,0
972,NOURISH (v),NOURISH (v),"Desteklemek, beslemek","Feed, nurture",Water and the sugar produced by photosynthesis nourish cells.,Su ve fotosentezle üretilen şeker hücreleri besler.,49,-,-,0
973,PERVADE (v),PERVADE (v),"Yayılmak, hakim olmak, kaplamak, sarmak","Spread through, permeate",The collision of two galaxies provides the best evidence of the invisible black material that is believed to have pervaded the mass of the universe.,"İki galaksinin çarpışması, evrenin kütlesini kapladığına inanılan görünmez kara maddenin bugüne kadar elde edilen en iyi kanıtını sağlar",49,-,-,0
974,POSTULATE (v),POSTULATE (v),"Varsaymak, farzetmek, ileri sürmek","Assume, maintain, claim, put forward, propose",Scientists have postulated that marine organisms are a significant natural source of atmospheric aerosols for decades.,"Bilim adamları, deniz organizmalarının atmosferik aerosollerin önemli bir doğal kaynağı olduğunu on yıllardır ileri sürmektedir.",49,-,-,0
975,PROMINENT (adj),PROMINENT (adj),"Bilinen, ünlü, önemli, öne çıkan","Famous, well-known, important",Silicon is a prominent and considerably useful material of technology.,"Silikon, önemli ve oldukça kullanışlı bir teknoloji malzemesidir.",49,-,-,0
976,RAPIDLY (adv),RAPIDLY (adv),"Hızla, çabucak","Fast, quickly, speedily, swiftly",Addiction to opioid painkillers has risen rapidly over the last decade.,Opioid ağrı kesicilerine bağımlılık son on yılda hızla artmıştır.,49,-,-,0
977,RESEMBLE (v),RESEMBLE (v),"Andırmak, benzemek",Look like,Science is an activity that in many respects resembles other creative activities of the human mind.,Bilim birçok açıdan insan zihninin diğer yaratıcı faaliyetlerine benzeyen bir faaliyettir.,49,-,-,0
978,RESPECTIVE (adj),RESPECTIVE (adj),"Şahsi, kişisel","Own, individual",Pikul plan to use this technology in his respective labs.,"Pikul, şahsi laboratuarlarında bu teknolojiyi kullanmayı planlıyor.",49,-,-,0
979,STRICTLY (adv),STRICTLY (adv),"Şiddetle, sıkı biçimde","Severely, firmly",Nuclear materials are controlled strictly to prevent any leakage.,Nükleer maddeler sızıntıyı önlemek için sıkı biçimde kontrol edilmektedir.,49,-,-,0
980,SUSCEPTIBILITY (n),SUSCEPTIBILITY (n),"Duyarlılık, yatkınlık","Vulnerability, defenselessness, weakness",Many scientists maintain that susceptibility to autism is inherited.,"Pek çok bilim adamı, otizme yatkınlığın kalıtsal olduğunu savunuyor.",49,-,-,0
981,AMISS (adj),AMISS (adj),"Eksik, yanlış, hatalı","Incorrect, wrong, mistaken, faulty",Another statistic points to something amiss—either in working conditions or chemical exposures.,"Başka bir istatistik, ya çalışma koşullarında ya da kimyasal maruziyetlerde bir şeylerin yanlış olduğuna işaret ediyor.",50,-,-,0
982,ASCEND (v),ASCEND (v),"Yükselmek, yukarı çıkmak","Rise, climb, soar, go up","The space agency said the balloons would ascend to 100,000 feet above Earth.","Uzay ajansı, balonların Dünya'nın 100.000 feet üstüne yükseleceğini söyledi.",50,-,-,0
983,BREED (v),BREED (v),"Büyütmek, yetiştirmek","Raise, rear, nurture",Hybrid seeds are bred for qualities such as longevity or disease resistance.,"Hibrid tohumlar, ömür süresi ya da hastalık direnci gibi özellikler için yetiştirilir.",50,-,-,0
984,BUTTRESS (v),BUTTRESS (v),"Desteklemek, güçlendirmek","Strengthen, support, reinforce",These two findings buttress the idea that there may be habitable planets.,"Bu iki bulgu, yaşanabilir gezegenlerin olabileceği fikrini desteklemektedir.",50,-,-,0
985,COLOSSAL (adj),COLOSSAL (adj),"Devasa, muazzam, kocaman","Huge, massive, immense, gigantic, enormous, vast",One distinctive property of Saturn is that it is prone to the eruption of colossal storms.,"Satürn'ün belirgin bir özelliği, devasa fırtınaların kopmasına yatkın olmasıdır.",50,-,-,0
986,CONTEND (v),CONTEND (v),"İddia etmek, ileri sürmek","Assert, maintain, claim",Astronomers contend that Mars's current climate is not habitable to Earth organisms.,"Gökbilimciler, Mars'ın mevcut ikliminin Dünya organizmaları için yaşanabilir olmadığını iddia ediyor.",50,-,-,0
987,DISPROPORTIONATE (adj),DISPROPORTIONATE (adj),Orantısız,"Uneven, unequal",Cultural barriers can have a disproportionate impact on female scientists.,Kültürel engellerin kadın bilim insanları üzerinde orantısız bir etkisi olabilir.,50,-,-,0
988,DIVERGE (v),DIVERGE (v),"den sapmak, birbirinden ayrılmak, dallanmak","Deviate, move away, depart","One set of analyses published in the late 1990s suggested dogs and wolves diverged some 135,000 years ago in the Middle East.","1990'ların sonunda yayınlanan bir dizi analizde, köpeklerin ve kurtların Orta Doğu'da yaklaşık 135.000 yıl önce birbirinden ayrıldıklarını ileri sürülüyordu.",50,-,-,0
989,DRIVING FORCE (n phr),DRIVING FORCE (n phr),"İtici güç, asıl neden","Mainspring, chief reason, impulse",Global warming is a driving force behind this change.,"Küresel ısınma, bu değişimin arkasındaki itici bir güçtür.",50,-,-,0
990,ENRICH (v),ENRICH (v),"Zenginleştirmek, değerini artırmak","Augment, improve, enhance",Teachers should provide the students with activities enriched with technology.,Öğretmenler öğrencilere teknoloji ile zenginleştirilmiş faaliyetleri sağlamalıdır.,50,-,-,0
991,EVENLY (adv),EVENLY (adv),"Dengeli olarak, eşit oranda","Consistently, equally, uniformly",Galaxies are not evenly spread out in the universe.,Galaksiler evrende eşit oranda dağılmazlar.,50,-,-,0
992,EXTRACT (v),EXTRACT (v),Çıkarmak,"Take out, remove",Companies have come up with new ways to extract minerals.,"Şirketler, mineral çıkarmak için yeni yöntemler geliştirdiler.",50,-,-,0
993,FALLOUT (n),FALLOUT (n),"Nükleer atık, radyoaktif serpinti",Nuclear waste,"Unlike Nagasaki explosion, the Hiroshima explosion was an air burst high above the surface, so the fallout was insignificant.","Nagazaki patlamasının aksine, Hiroşima patlaması, yüzeyin üstünde bir hava patlamasıydı, bu nedenle radyoaktif serpinti cüzi idi.",50,-,-,0
994,HALT (v),HALT (v),"Durdurmak, duraksatmak","Stop, pause, cease",The tornado delayed or halted traffic on several railway corridors.,"Hortum, birkaç demiryolu geçidinde trafiği geciktirdi veya durdurdu.",50,-,-,0
995,INFLATE (v),INFLATE (v),Şişirmek,Fill with air,"When the caterpillar senses a bird nearby, it inflates the front part of its body.",Tırtıl yakındaki bir kuşu hissettiğinde vücudunun ön kısmını şişirir.,50,-,-,0
996,INNOVATIVE (adj),INNOVATIVE (adj),"Yenilikçi, yeniliğe açık","Advanced, original, inventive",Scientists are beginning to adopt innovative approaches to convert available energy into chemical fuels.,"Bilim insanları, mevcut enerjiyi kimyasal yakıtlara dönüştürmek için yenilikçi yaklaşımlar benimsemeye başlıyorlar.",50,-,-,0
997,PLUNGE into (v),PLUNGE into (v),"e dalmak, -e çarpmak, - e düşmek","Dive, crash, fall","When the comet fragments plunged into Jupiter's atmosphere, they released the energy of around 50,000 H bombs.",Kuyruklu yıldız parçaları Jüpiter'in atmosferine daldığında yaklaşık 50 bin H bombasının enerjisini açığa çıkardı.,50,-,-,0
998,REFUTE (v),REFUTE (v),"Çürütmek, aksini ispatlamak, reddetmek","Disprove, deny, reject, repudiate",This study refuted a common medical belief that these surgeries reduce women's fertility.,"Bu çalışma, bu ameliyatların kadınların doğurganlığını azalttığına dair yaygın bir tıbbi inanışın aksini ispatladı.",50,-,-,0
999,RESURRECT (v),RESURRECT (v),"Diriltmek, hayata tekrar döndürmek","Bring back to life, revive",Geneticists have sought to resurrect the woolly mammoth for years.,Genetikçiler yünlü mamutu hayata tekrar döndürmek için yıllardır çabalıyorlar.,50,-,-,0
1000,WORSEN (v),WORSEN (v),"Kötüleştirmek, kötüye gitmek","Get worse, deteriorate",Sea level rise has worsened the impact of tropical storms.,"Deniz seviyesinin yükselmesi, tropikal fırtınaların etkisini kötüleştirdi.",50,-,-,0
1001,ASSET (n),ASSET (n),"Varlık, kıymetli şey","Possession, property, resource",The United States is the largest player in terms of space spending and assets in orbit.,"Amerika, uzay harcamaları ve yörüngedeki varlıkları açısından en büyük oyuncudur.",51,-,-,0
1002,DISTORT (v),DISTORT (v),"Bozmak, tahrif etmek, formunu değiştirmek","Deform, alter",Gravity in black holes is so powerful that it distorts time and space.,Karadeliklerdeki yerçekimi o kadar güçlüdür ki zamanı ve mekanı değiştirir.,51,-,-,0
1003,ENTITLE (v),ENTITLE (v),"Hak kazanmak, hak tanımak, yetki vermek","Enable, authorize, allow, give the right",He believes he would be entitled to serve a 4-year term in the lab.,Laboratuarda 4 yıllık bir süre hizmet etmesine hak tanınacağına inanıyor.,51,-,-,0
1004,EXCURSION (n),EXCURSION (n),"Gezinti, yolculuk","Trip, tour","During our excursion through the woods, we trapped some of the local mice for examination in a laboratory.","Ormandaki gezimiz sırasında, laboratuarda incelemek üzere yerel farelerin bazılarını yakaladık.",51,-,-,0
1005,FINITE (adj),FINITE (adj),"Sonu olan, sınırlı","Limited, restricted",Psychological experiments suggest that attention is a finite resource.,Psikolojik deneyler dikkatin sınırlı bir kaynak olduğunu ileri sürmektedir.,51,-,-,0
1006,IMPROVEMENT (n),IMPROVEMENT (n),"İlerleme, iyileşme, gelişim","Development, enhancement, advancement, progress",Leeuwenhoek is known for his work on the improvement of the microscope in 1648.,"Van Leeuwenhoek, 1648'de mikroskopun iyileştirilmesiyle ilgili çalışmalarıyla bilinir",51,-,-,0
1007,INERT (adj),INERT (adj),"Hareketsiz, eylemsiz, atıl","Motionless, still, inactive",Most of the nitrogen exists as an inert atmospheric gas that organisms can't use.,"Azotun çoğu, organizmaların kullanamayacağı atıl bir atmosferik gaz olarak bulunur.",51,-,-,0
1008,INTERTWINED (adj),INTERTWINED (adj),"İç içe geçmiş, birbirine karışmış","Linked together, involved with each other",Geology and biology have been intertwined since life began.,Yaşam başladığından beri jeoloji ve biyoloji iç içe geçmiştir.,51,-,-,0
